categorie,type,difficulte,question,reponse_correcte,reponses_incorrectes,toutes_reponses
Science & Nature,multiple,hard,What nucleotide pairs with guanine?,Cytosine,Thymine|Adenine|Uracil,Cytosine|Thymine|Adenine|Uracil
Geography,multiple,medium,All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:,Urutora,Rungata|London|Washington,Urutora|Rungata|London|Washington
Entertainment: Television,multiple,easy,"In the Star Trek universe, what color is Vulcan blood?",Green,Blue|Red|Purple,Green|Blue|Red|Purple
Science & Nature,multiple,medium,"Which planet did the ""Viking 1"" spacecraft send surface images of, starting in 1976?",Mars,Saturn|Jupiter|Venus,Mars|Saturn|Jupiter|Venus
Animals,multiple,easy,What colour is the female blackbird?,Brown,Black|White|Yellow,Brown|Black|White|Yellow
Entertainment: Video Games,multiple,medium,Which one of these was not a member of the Fiendish Five in the game Sly Cooper and the Thievius Raccoonus?,Dimitri Lousteau,Mz. Ruby|Muggshot|Clockwerk,Dimitri Lousteau|Mz. Ruby|Muggshot|Clockwerk
Entertainment: Video Games,multiple,easy,"Which of these is NOT a main playable character in ""Grand Theft Auto V""?",Lamar,Trevor|Michael|Franklin,Lamar|Trevor|Michael|Franklin
Science & Nature,multiple,medium,Which of these stars is the largest?,UY Scuti,VY Canis Majoris|Betelgeuse|RW Cephei,UY Scuti|VY Canis Majoris|Betelgeuse|RW Cephei
Entertainment: Music,multiple,easy,Who is the lead singer of Green Day?,Billie Joe Armstrong,Mike Dirnt|Sean Hughes|Tré Cool,Billie Joe Armstrong|Mike Dirnt|Sean Hughes|Tré Cool
Entertainment: Video Games,multiple,medium,"Psych-Horror ""Eternal Darkness: Sanity's Requiem"", developed by Silicon Knights in 2002, was published by who and on what platform?",Nintendo® Co. Ltd. | GameCube™,Sony® Computer Entertainment™ Inc. | PlayStation® 2|Microsoft® Game Studios™ | XBox™|Sega® Enterprises Co. Ltd. | Dreamcast™,Nintendo® Co. Ltd. | GameCube™|Sony® Computer Entertainment™ Inc. | PlayStation® 2|Microsoft® Game Studios™ | XBox™|Sega® Enterprises Co. Ltd. | Dreamcast™
Entertainment: Video Games,multiple,medium,"Which stage was planned to be a part of ""Sonic the Hedgehog 2"", but was scrapped during development?",Genocide City Zone,Stardust Speedway Zone|Sky High Zone |Clockwork Zone,Genocide City Zone|Stardust Speedway Zone|Sky High Zone |Clockwork Zone
Entertainment: Video Games,multiple,medium,"Which character is from ""Splatoon""?",Marie,Cyrus|Palutena|Shulk,Marie|Cyrus|Palutena|Shulk
Politics,multiple,hard,Which of the following United States senators is known for performing a 24-hour long filibuster?,Strom Thurmond,Roy Blunt|John Barrasso|Chuck Schumer,Strom Thurmond|Roy Blunt|John Barrasso|Chuck Schumer
Entertainment: Video Games,multiple,easy,"Who is the writer of the game ""Half-Life""?",Marc Laidlaw,Gabe Newell|Robin Walker|Chet Faliszek,Marc Laidlaw|Gabe Newell|Robin Walker|Chet Faliszek
Entertainment: Video Games,multiple,medium,"Which weapon that was cut from the game ""Half Life 2"" was going to replace the crowbar?",Ice Axe,Fire Axe|Wrench|Hunting Knife,Ice Axe|Fire Axe|Wrench|Hunting Knife
Entertainment: Film,multiple,medium,"What type of cheese, loved by Wallace and Gromit, had it's sale prices rise after their successful short films?",Wensleydale,Cheddar|Moon Cheese|Edam,Wensleydale|Cheddar|Moon Cheese|Edam
Entertainment: Television,multiple,easy,"What is the name of the planet that the Doctor from television series ""Doctor Who"" comes from?",Gallifrey,Sontar|Skaro|Mondas,Gallifrey|Sontar|Skaro|Mondas
Celebrities,multiple,medium,"If he was still alive, in what year would Elvis Presley celebrate his 100th birthday?",2035,2030|2040|2045,2035|2030|2040|2045
Entertainment: Video Games,multiple,hard,"In the title of the game ""Luigi's Mansion"", what is the only letter to not appear with a pair of eyes in it?",s,n|i|m,s|n|i|m
Mythology,multiple,medium,Which of these Roman gods doesn't have a counterpart in Greek mythology?,Janus,Vulcan|Juno|Mars,Janus|Vulcan|Juno|Mars
Entertainment: Television,multiple,medium,What year did the television company BBC officially launch the channel BBC One?,1936,1948|1932|1955,1936|1948|1932|1955
Science: Computers,multiple,medium,"In HTML, which non-standard tag used to be be used to make elements scroll across the viewport?",<marquee></marquee>,<scroll></scroll>|<move></move>|<slide></slide>,<marquee></marquee>|<scroll></scroll>|<move></move>|<slide></slide>
History,multiple,medium,Which of the following is NOT classified as a Semetic language?,Sumerian,Maltese|Akkadian|Mandaic,Sumerian|Maltese|Akkadian|Mandaic
Entertainment: Music,multiple,medium,Which one of these rappers is NOT a member of the rap group Wu-Tang Clan?,Dr.Dre,Ol' Dirty Bastard|GZA|Method Man,Dr.Dre|Ol' Dirty Bastard|GZA|Method Man
Celebrities,multiple,easy,By what name is Carlos Estevez better known? ,Charlie Sheen,Ricky Martin|Bruno Mars|Joaquin Phoenix,Charlie Sheen|Ricky Martin|Bruno Mars|Joaquin Phoenix
Sports,multiple,medium,Who was the topscorer for England national football team?,Wayne Rooney,David Beckham|Steven Gerrard|Michael Owen,Wayne Rooney|David Beckham|Steven Gerrard|Michael Owen
Entertainment: Music,multiple,medium,Which of these is NOT a name of an album released by American rapper Pitbull?,Welcome to Miami,Dale|Global Warming|Armando,Welcome to Miami|Dale|Global Warming|Armando
General Knowledge,multiple,easy,Which of these colours is NOT featured in the logo for Google?,Pink,Yellow|Blue|Green,Pink|Yellow|Blue|Green
Entertainment: Film,multiple,easy,"In the movie ""V for Vendetta,"" what is the date that masked vigilante ""V"" urges people to remember?",November 5th,November 6th|November 4th|September 5th,November 5th|November 6th|November 4th|September 5th
History,multiple,hard,What micro-state is considered to have the oldest constitution still in effect?,San Marino,Andorra|Monaco|Saint Kitts and Nevis,San Marino|Andorra|Monaco|Saint Kitts and Nevis
Geography,multiple,easy,What colour is the circle on the Japanese flag?,Red,White|Yellow|Black,Red|White|Yellow|Black
Science & Nature,multiple,easy,Who is the chemical element Curium named after?,Marie & Pierre Curie,The Curiosity Rover|Curious George|Stephen Curry,Marie & Pierre Curie|The Curiosity Rover|Curious George|Stephen Curry
Science & Nature,multiple,hard,If you planted the seeds of Quercus robur what would grow?,Trees,Flowers|Vegtables|Grains,Trees|Flowers|Vegtables|Grains
General Knowledge,multiple,medium,What was the soft drink Pepsi originally introduced as?,Brad's Drink,Pepsin Pop|Carolina Cola|Pepsin Syrup,Brad's Drink|Pepsin Pop|Carolina Cola|Pepsin Syrup
Geography,multiple,easy,Which country was NOT part of the Soviet Union?,Romania,Turkmenistan|Belarus|Tajikistan,Romania|Turkmenistan|Belarus|Tajikistan
Entertainment: Cartoon & Animations,multiple,medium,Which one of these cartoon characters is NOT voiced by Rob Paulsen?,Max Tennyson (Ben 10),"Carl Wheezer (Jimmy Neutron)|Yakko Warner (Animaniacs)|The Mask (The Mask, TV Series)","Max Tennyson (Ben 10)|Carl Wheezer (Jimmy Neutron)|Yakko Warner (Animaniacs)|The Mask (The Mask, TV Series)"
Entertainment: Television,multiple,hard,"In ""It's Always Sunny in Philadelphia"" what was the name of Frank's wrestling persona?",The Trash Man,Bird of War|Day Man|The Maniac,The Trash Man|Bird of War|Day Man|The Maniac
Entertainment: Video Games,multiple,hard,"In which game did the character ""Mario"" make his first appearance?",Donkey Kong,Super Mario Bros.|Super Mario Land|Mario Bros.,Donkey Kong|Super Mario Bros.|Super Mario Land|Mario Bros.
History,multiple,hard,"When was the ""Siege of Leningrad"" lifted during World War II?",January 1944,September 1943|November 1943|March 1944,January 1944|September 1943|November 1943|March 1944
Science & Nature,multiple,medium,"Along with Oxygen, which element is primarily responsible for the sky appearing blue?",Nitrogen,Helium|Carbon|Hydrogen,Nitrogen|Helium|Carbon|Hydrogen
History,multiple,medium,What year were the Marian Reforms instituted in the Roman Republic?,107 BCE,42 BCE|264 BCE|102 CE,107 BCE|42 BCE|264 BCE|102 CE
Entertainment: Comics,multiple,easy,"What is the alter-ego of the DC comics character ""Superman""?",Clark Kent,Bruce Wayne|Arthur Curry|John Jones,Clark Kent|Bruce Wayne|Arthur Curry|John Jones
Entertainment: Video Games,multiple,medium,"In the game ""Cave Story,"" what is the character Balrog's catchphrase?",Huzzah!,Yes!|Whoa there!|Nyeh heh heh!,Huzzah!|Yes!|Whoa there!|Nyeh heh heh!
Entertainment: Film,multiple,medium,"In Finding Nemo, what was the name of Nemo's mom?",Coral,Sandy|Pearl|Shelly,Coral|Sandy|Pearl|Shelly
Entertainment: Video Games,multiple,medium,"What is the full name of the protagonist from the indie adventure game ""Night in the Woods""?",Margaret Borowski,Marlena Woborski|Milena Catharina|Katia Managan,Margaret Borowski|Marlena Woborski|Milena Catharina|Katia Managan
Entertainment: Cartoon & Animations,multiple,hard,"In the TV show ""Rick and Morty"", Rick uses the catchphrase ""Wubba Lubba Dub Dub"", which means what in Birdperson?","I am in great pain, please help me.","I pray that my life ends soon.|Lets get this party started!|I am suffering, please help me.","I am in great pain, please help me.|I pray that my life ends soon.|Lets get this party started!|I am suffering, please help me."
History,multiple,medium,When was Napoleon Bonaparte crowned emperor of the French? , December 2nd 1804, July 3rd 1802| March 8th 1803| October 15th 1804, December 2nd 1804| July 3rd 1802| March 8th 1803| October 15th 1804
Entertainment: Video Games,multiple,easy,"How many times do you fight Gilgamesh in ""Final Fantasy 5""?",6,4|5|3,6|4|5|3
Entertainment: Video Games,multiple,hard,Which was the first M-rated video game developed by Squaresoft/Square Enix?,Parasite Eve,Final Fantasy VIII|Front Mission|Vagrant Story,Parasite Eve|Final Fantasy VIII|Front Mission|Vagrant Story
Celebrities,multiple,medium,Which famous New York Yankees outfielder did Marilyn Monroe marry?,Joe DiMaggio,Tino Martinez|Babe Ruth|Mason Williams,Joe DiMaggio|Tino Martinez|Babe Ruth|Mason Williams
Entertainment: Music,multiple,hard,"Who was not in the band ""The Smiths""?",Martin Chambers,Morrissey|Andy Rourke|Mike Joyce,Martin Chambers|Morrissey|Andy Rourke|Mike Joyce
Entertainment: Video Games,multiple,easy,"In ""Overwatch"", which hero is able to wallride?",Lucio,Reinhardt|Sombra|Mercy,Lucio|Reinhardt|Sombra|Mercy
Science & Nature,multiple,easy,What is the hottest planet in the Solar System?,Venus,Mars|Mercury|Jupiter,Venus|Mars|Mercury|Jupiter
Sports,multiple,easy,"Which city did the former NHL team ""The Nordiques"" originiate from?",Quebec City,Houston|Montreal|New York,Quebec City|Houston|Montreal|New York
Entertainment: Japanese Anime & Manga,multiple,medium,"In the anime, ""Fullmetal Alchemist"", who is known as the 'Flame Alchemist'?",Roy Mustang,Edward Elric|Maes Hughes|Lin Yao,Roy Mustang|Edward Elric|Maes Hughes|Lin Yao
Geography,multiple,medium,The World Health Organization headquarters is located in which European country?,Switzerland,United Kingdom|France|Belgium,Switzerland|United Kingdom|France|Belgium
Entertainment: Video Games,multiple,medium,"Which German city does the map ""Clubhouse"" in ""Tom Clancy's Rainbow Six Siege"" take place in?",Hannover,Berlin|Hamburg|Munich,Hannover|Berlin|Hamburg|Munich
History,multiple,hard,The son of which pope supposedly held a lecherous fête involving 50 courtesans in the papal palace?,Alexander VI,Innocent V|Urban II|Pius III,Alexander VI|Innocent V|Urban II|Pius III
Geography,multiple,medium,What is the highest mountain in the world?,Mt. Everest,Mount Godwin Austen|Kangchenjunga|Annapurna,Mt. Everest|Mount Godwin Austen|Kangchenjunga|Annapurna
Entertainment: Video Games,multiple,easy,"How many Chaos Emeralds are there in the ""Sonic the Hedgehog"" universe?",7,6|8|14,7|6|8|14
History,multiple,easy,Who rode on horseback to warn the Minutemen that the British were coming during the U.S. Revolutionary War?,Paul Revere,Thomas Paine|Henry Longfellow|Nathan Hale,Paul Revere|Thomas Paine|Henry Longfellow|Nathan Hale
Geography,multiple,medium,What is the capital city of the U.S. state of Texas?,Austin,Dallas|Houston|San Antonio,Austin|Dallas|Houston|San Antonio
Entertainment: Video Games,multiple,hard,"In Diablo lore, this lesser evil spawned from one of the seven heads of Tathamet, and was known as the Maiden of Anguish.",Andariel,Valla|Malthael|Kashya,Andariel|Valla|Malthael|Kashya
Entertainment: Japanese Anime & Manga,multiple,hard,"What year was ""JoJo's Bizarre Adventure: Phantom Blood"" first released?",1987,2013|1983|1995,1987|2013|1983|1995
Entertainment: Video Games,multiple,easy,Which of the following characters is NOT a female marriage candidate in the game Stardew Valley?,Caroline,Abigail|Haley|Leah,Caroline|Abigail|Haley|Leah
Entertainment: Film,multiple,easy,"This movie contains the quote, ""I feel the need ... the need for speed!""",Top Gun,Days of Thunder|The Color of Money|Cocktail,Top Gun|Days of Thunder|The Color of Money|Cocktail
Entertainment: Film,multiple,medium,Which of the following James Bond villains is not affiliated with the SPECTRE organization?,Auric Goldfinger,Dr. Julius No|Rosa Klebb|Emilio Largo,Auric Goldfinger|Dr. Julius No|Rosa Klebb|Emilio Largo
Entertainment: Television,multiple,hard,"Who was the winner of ""Big Brother"" Season 10?",Dan Gheesling,Bryce Kranyik|Ryan Sutfin|Chris Mundorf,Dan Gheesling|Bryce Kranyik|Ryan Sutfin|Chris Mundorf
Entertainment: Film,multiple,easy,"In the movie ""Cast Away"" the main protagonist's best friend while on the island is named",Wilson,Carson|Jackson|Willy,Wilson|Carson|Jackson|Willy
Politics,multiple,hard,What is the name of Niccolò Machiavelli's work that argued effective leaders needed to crush their opponents at all costs?,The Prince,The Rape of Lucrece|Will to Power|Love's Labours Lost,The Prince|The Rape of Lucrece|Will to Power|Love's Labours Lost
History,multiple,medium,During which American Civil War campaign did Union troops dig a tunnel beneath Confederate troops to detonate explosives underneath them?,Siege of Petersburg,Siege of Vicksburg|Antietam Campaign|Gettysburg Campagin,Siege of Petersburg|Siege of Vicksburg|Antietam Campaign|Gettysburg Campagin
Entertainment: Video Games,multiple,medium,"In the game series ""The Legend of Zelda"", what was the first 3D game?",Ocarina of Time,Majora's Mask|A Link to the Past|The Wind Waker,Ocarina of Time|Majora's Mask|A Link to the Past|The Wind Waker
Entertainment: Television,multiple,hard,"What is the name of the pirate that sings the intro to ""Spongebob Squarepants""?",Painty,Patchy|Lloyd|Larry,Painty|Patchy|Lloyd|Larry
Sports,multiple,medium,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Jordan,Benetton|Ferrari|Mercedes,Jordan|Benetton|Ferrari|Mercedes
History,multiple,easy,Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,Illyrians,Dorians|Achaeans|Ionians,Illyrians|Dorians|Achaeans|Ionians
Science & Nature,multiple,hard,What genetic disease is caused by having an extra Y chromosome (XYY)?,Jacob's Syndrome,Klinefelter's Syndrome|Turner's Syndrome|Down Syndrome,Jacob's Syndrome|Klinefelter's Syndrome|Turner's Syndrome|Down Syndrome
Entertainment: Video Games,multiple,easy,When was Left 4 Dead 2 released?,"November 17, 2009","May 3, 2008|November 30, 2009|June 30, 2010","November 17, 2009|May 3, 2008|November 30, 2009|June 30, 2010"
Geography,multiple,medium,What is the largest Muslim country in the world?,Indonesia,Pakistan|Saudi Arabia|Iran,Indonesia|Pakistan|Saudi Arabia|Iran
History,multiple,medium,"The Tsar Bomba, the most powerful nuclear bomb ever tested, had a yield of 50 megatons but theoretically had a maximum yield of how much?",100 Megatons,200 Megatons|75 Megatons|150 Megatons,100 Megatons|200 Megatons|75 Megatons|150 Megatons
Sports,multiple,hard,Which city features all of their professional sports teams' jersey's with the same color scheme?,Pittsburgh,New York|Seattle|Tampa Bay,Pittsburgh|New York|Seattle|Tampa Bay
Entertainment: Video Games,multiple,hard,"GoldenEye 007 on the Nintendo 64 was planned to allow you to play as all previous Bond actors, with the exception of who?",George Lazenby,Roger Moore|Sean Connery|Timothy Dalton,George Lazenby|Roger Moore|Sean Connery|Timothy Dalton
Entertainment: Video Games,multiple,medium,"In Fallout 4, which type of power armor is first encountered in the early mission ""When Freedom Calls"" in a crashed Vertibird?",T-45,T-51|T-60|X-01,T-45|T-51|T-60|X-01
History,multiple,hard,What was the name of the German offensive operation in October 1941 to take Moscow before winter?,Operation Typhoon,Operation Sunflower|Operation Barbarossa|Case Blue,Operation Typhoon|Operation Sunflower|Operation Barbarossa|Case Blue
General Knowledge,multiple,medium,"Linus Pauling, one of the only winners of multiple Nobel Prizes, earned his Nobel Prizes in Chemistry and what?",Peace,Physics|Economics|Physiology/Medicine,Peace|Physics|Economics|Physiology/Medicine
History,multiple,medium,When did the British hand-over sovereignty of Hong Kong back to China?,1997,1999|1841|1900,1997|1999|1841|1900
Entertainment: Japanese Anime & Manga,multiple,medium,"What is the name of the final villain in the manga series ""Bleach""?",Yhwach,Juha Bach|Yuhabah|Juhabach,Yhwach|Juha Bach|Yuhabah|Juhabach
Entertainment: Film,multiple,medium,"Who plays ""Bruce Wayne"" in the 2008 movie ""The Dark Knight""?",Christian Bale,Michael Caine|Ron Dean|Heath Ledger,Christian Bale|Michael Caine|Ron Dean|Heath Ledger
Science: Computers,multiple,hard,Which data structure does FILO apply to?,Stack,Queue|Heap|Tree,Stack|Queue|Heap|Tree
General Knowledge,multiple,hard,The Quadrangularis Reversum is best described as which of the following?,A percussion instrument,A building in Oxford University|A chess move|A geometric theorem,A percussion instrument|A building in Oxford University|A chess move|A geometric theorem
Entertainment: Video Games,multiple,hard,"What is the real name of ""Warhead"" in the Sega Genesis game ""Vectorman""?",Raster,Peacehead|Vectorkid|Bitmap,Raster|Peacehead|Vectorkid|Bitmap
Entertainment: Video Games,multiple,easy,"What household item make the characters of ""Steins; Gate"" travel through time?",Microwave,Computer|Refrigerator|Televison,Microwave|Computer|Refrigerator|Televison
History,multiple,medium,"Which country attacked the USS Liberty on June 8, 1967?",Israel,Syria|Saudi Arabia|Iran,Israel|Syria|Saudi Arabia|Iran
Entertainment: Video Games,multiple,medium,"In Grand Theft Auto: V, what wanted level does the player receive if they enter Zancudo Army Base north of Los Santos?",4,3|5|1,4|3|5|1
Entertainment: Video Games,multiple,medium,"What was the first ""Team Fortress 2"" update to include a war?",Sniper vs. Spy Update,WAR! Update|Meet Your Match Update|Spy Vs. Engineer Update,Sniper vs. Spy Update|WAR! Update|Meet Your Match Update|Spy Vs. Engineer Update
Science: Gadgets,multiple,easy,Which buzzword did Apple Inc. use to describe their removal of the headphone jack?,Courage,Innovation|Revolution|Bravery,Courage|Innovation|Revolution|Bravery
Entertainment: Music,multiple,hard,"What is the English title of the vaporwave track ""リサフランク420 / 現代のコンピュー"" by Macintosh Plus (Vektroid)?",Lisa Frank 420 / Modern Computing,Smoke Weed 420 / Everyday|Make Your Move 420 / My Mind|It's All In Your Head 420 / Understand,Lisa Frank 420 / Modern Computing|Smoke Weed 420 / Everyday|Make Your Move 420 / My Mind|It's All In Your Head 420 / Understand
Entertainment: Musicals & Theatres,multiple,easy,"""Doctor Who"" star David Tennant performed in a rendition of which Shakespearean play?",Hamlet,The Tempest|Othello|The Taming of the Shrew,Hamlet|The Tempest|Othello|The Taming of the Shrew
Science & Nature,multiple,medium,What are human nails made of?,Keratin,Bone|Chitin|Calcium,Keratin|Bone|Chitin|Calcium
Entertainment: Film,multiple,medium,"In the 1979 British film ""Quadrophenia"" what is the name of the seaside city the mods are visiting?",Brighton,Eastbourne|Mousehole|Bridlington,Brighton|Eastbourne|Mousehole|Bridlington
Entertainment: Japanese Anime & Manga,multiple,easy,"In ""One Piece,"" what color is Tony Tony Chopper's nose?",Blue,Black|Grey|Red,Blue|Black|Grey|Red
Entertainment: Books,multiple,hard,"In the ""Harry Potter"" series, what is Headmaster Dumbledore's full name?",Albus Percival Wulfric Brian Dumbledore,Albus Valum Jetta Mobius Dumbledore|Albus James Lunae Otto Dumbledore|Albus Valencium Horatio Kul Dumbledore,Albus Percival Wulfric Brian Dumbledore|Albus Valum Jetta Mobius Dumbledore|Albus James Lunae Otto Dumbledore|Albus Valencium Horatio Kul Dumbledore
Science & Nature,multiple,medium,What stage of development do the majority of eukaryotic cells remain in for most of their life?,Interphase,Prophase|Stasis|Telophase,Interphase|Prophase|Stasis|Telophase
General Knowledge,multiple,medium,Amsterdam Centraal station is twinned with what station?,London Liverpool Street,Frankfurt (Main) Hauptbahnhof|Paris Gare du Nord|Brussels Midi,London Liverpool Street|Frankfurt (Main) Hauptbahnhof|Paris Gare du Nord|Brussels Midi
Entertainment: Video Games,multiple,medium,How many classes are there in Team Fortress 2?,9,10|8|7,9|10|8|7
History,multiple,medium,What year did Australia become a federation?,1901,1910|1899|1911,1901|1910|1899|1911
Entertainment: Film,multiple,medium,"Who provided a majority of the songs and lyrics for ""Spirit: Stallion of the Cimarron""?",Bryan Adams,Smash Mouth|Oasis|Air Supply,Bryan Adams|Smash Mouth|Oasis|Air Supply
Entertainment: Cartoon & Animations,multiple,hard,Which of these cartoon girlfriends of popular characters first appeared before their boyfriends?,Olive Oyl,Minnie Mouse|Lola Bunny|Daisy Duck,Olive Oyl|Minnie Mouse|Lola Bunny|Daisy Duck
Entertainment: Japanese Anime & Manga,multiple,medium,"In ""Puella Magi Madoka Magica"", what is the first name of Madoka's younger brother?",Tatsuya,Montoya|Tomohisa|Minato,Tatsuya|Montoya|Tomohisa|Minato
Science & Nature,multiple,easy,Which is the longest bone in the human body? ,Femur,Scapula|Fibula|Ulna,Femur|Scapula|Fibula|Ulna
Geography,multiple,medium,Which two modern-day countries used to be known as the region of Rhodesia between the 1890s and 1980?,Zambia & Zimbabwe,Togo & Benin|Lesotho & Swaziland|Rwanda & Burundi,Zambia & Zimbabwe|Togo & Benin|Lesotho & Swaziland|Rwanda & Burundi
Science: Computers,multiple,medium,All of the following programs are classified as raster graphics editors EXCEPT:,Inkscape,Paint.NET|GIMP|Adobe Photoshop,Inkscape|Paint.NET|GIMP|Adobe Photoshop
Entertainment: Video Games,multiple,easy,"In Counter-Strike: Global Offensive, what's the rarity of discontinued skins called?",Contraband,Discontinued|Diminished|Limited,Contraband|Discontinued|Diminished|Limited
General Knowledge,multiple,medium,"Which of these is the name of a Japanese system of alternative medicine, literally meaning ""finger pressure""?",Shiatsu,Ukiyo|Majime|Ikigai,Shiatsu|Ukiyo|Majime|Ikigai
Entertainment: Music,multiple,medium,"According to their 1974 hit, what were Brownsville Station doing ""In The Boys' Room""?",Smokin',Hangin'|Lovin'|Peein',Smokin'|Hangin'|Lovin'|Peein'
History,multiple,easy,Who was the first ruler of Haiti after the country had gained its independence?,Jean-Jacques Dessalines,Toussaint Louverture|Henri Christophe|Alexandre Petion,Jean-Jacques Dessalines|Toussaint Louverture|Henri Christophe|Alexandre Petion
Entertainment: Film,multiple,medium,"Which 90's comedy cult classic features cameos appearances from Meat Loaf, Alice Cooper and Chris Farley?",Wayne's World,Bill & Ted's Excellent Adventure|Dumb and Dumber|Austin Powers: International Man of Mystery,Wayne's World|Bill & Ted's Excellent Adventure|Dumb and Dumber|Austin Powers: International Man of Mystery
Entertainment: Video Games,multiple,hard,What is the name of the alien species introduced in Shadow the Hedgehog (2005)?,Black Arms,The Swarm|Black Hive|The Eclipse,Black Arms|The Swarm|Black Hive|The Eclipse
General Knowledge,multiple,medium,What is the unit of currency in Laos?,Kip,Ruble|Konra|Dollar,Kip|Ruble|Konra|Dollar
Science & Nature,multiple,medium,Au on the Periodic Table refers to which element?,Gold,Silver|Oxygen|Nickel,Gold|Silver|Oxygen|Nickel
Entertainment: Music,multiple,easy,Which of these songs by Skrillex features Fatman Scoop as a side artist?,Recess,All is Fair in Love and Brostep|Rock N Roll (Will Take You to the Mountain)|Scary Monsters and Nice Sprites,Recess|All is Fair in Love and Brostep|Rock N Roll (Will Take You to the Mountain)|Scary Monsters and Nice Sprites
Entertainment: Video Games,multiple,medium,Who was Tetris created by?,Alexey Pajitnov,Toru Iwatani|Allan Alcorn|William Higinbotham,Alexey Pajitnov|Toru Iwatani|Allan Alcorn|William Higinbotham
History,multiple,easy,What was the first sport to have been played on the moon?,Golf,Football|Tennis|Soccer,Golf|Football|Tennis|Soccer
Science & Nature,multiple,hard,Which major extinction event was caused by an asteroid collision and eliminated the majority of non-avian dinosaurs?,Cretaceous-Paleogene,Triassic–Jurassic|Permian–Triassic|Ordovician–Silurian,Cretaceous-Paleogene|Triassic–Jurassic|Permian–Triassic|Ordovician–Silurian
Science: Computers,multiple,easy,What amount of bits commonly equals one byte?,8,1|2|64,8|1|2|64
Entertainment: Cartoon & Animations,multiple,medium,Which Sanrio character was introduced in 1996?,Pompompurin,My Melody|Badtz-Maru|Kerropi,Pompompurin|My Melody|Badtz-Maru|Kerropi
Entertainment: Music,multiple,easy,Which Twitch streamer is the vocalist for Red Vox?,Vinesauce,The8BitDrummer|LIRIK|Sodapoppin,Vinesauce|The8BitDrummer|LIRIK|Sodapoppin
Entertainment: Video Games,multiple,easy,"In Fallout: New Vegas, which one of these casinos can you not play in?",Lucky 38,The Tops|Gammorah|Ultra-Luxe,Lucky 38|The Tops|Gammorah|Ultra-Luxe
Entertainment: Board Games,multiple,easy,How many spaces are there on a standard Monopoly board?,40,28|55|36,40|28|55|36
Geography,multiple,hard,Which of these cities is NOT in England?,Edinburgh,Oxford|Manchester|Southampton,Edinburgh|Oxford|Manchester|Southampton
Science & Nature,multiple,easy,Which element has the highest melting point?,Carbon,Tungsten|Platinum|Osmium,Carbon|Tungsten|Platinum|Osmium
Sports,multiple,medium,Which soccer team won the Copa América Centenario 2016?,Chile,Argentina|Brazil|Colombia,Chile|Argentina|Brazil|Colombia
Geography,multiple,medium,How many provinces are in the Netherlands?,12,14|10|13,12|14|10|13
General Knowledge,multiple,medium,Frank Lloyd Wright was the architect behind what famous building?,The Guggenheim,Villa Savoye|Sydney Opera House|The Space Needle,The Guggenheim|Villa Savoye|Sydney Opera House|The Space Needle
Entertainment: Television,multiple,hard,What was the name of the inflatable duck sacrified to the crowd at the end of Episode 34 of the 18th season of Big Brother?,Pablo,Esteban|Carlos|Duckster,Pablo|Esteban|Carlos|Duckster
Science & Nature,multiple,hard,Which of the following is NOT a real element?,Vitrainium,Praseodymium|Hassium|Lutetium,Vitrainium|Praseodymium|Hassium|Lutetium
Sports,multiple,easy,What was the year of estabilishment of the Bari Italian Football Club?,1908,1945|2014|1895,1908|1945|2014|1895
General Knowledge,multiple,easy,What step in cellular respiration forms ATP?,Oxidative Phosphorylation,Glycolysis|Pyruvate Oxidation|Calvin Cycle,Oxidative Phosphorylation|Glycolysis|Pyruvate Oxidation|Calvin Cycle
Entertainment: Video Games,multiple,easy,"In what year was the game ""FTL: Faster Than Light"" released?",2012,2014|2013|2011,2012|2014|2013|2011
History,multiple,medium,How many times was Albert Einstein married in his lifetime?,Twice,Five|Thrice|Once,Twice|Five|Thrice|Once
Entertainment: Video Games,multiple,medium,"What is the name of the first boss the player encounters in the 2017 game, ""Little Nightmares""?",The Janitor,The Warden|The Caretaker|The Overseer,The Janitor|The Warden|The Caretaker|The Overseer
Entertainment: Video Games,multiple,medium,The character Wario was first introduced in which game of the Mario video game franchise?,Super Mario Land 2: 6 Golden Coins (1992),Super Mario Bros. 3 (1988)|Wario Land: Super Mario Land 3 (1994)|Mario Party (1998),Super Mario Land 2: 6 Golden Coins (1992)|Super Mario Bros. 3 (1988)|Wario Land: Super Mario Land 3 (1994)|Mario Party (1998)
History,multiple,hard,What was the name of the spy ring that helped the United States win the Revolutionary War?,Culper Ring,New York Spy Ring|Washington's Spies|Unnamed,Culper Ring|New York Spy Ring|Washington's Spies|Unnamed
Entertainment: Music,multiple,medium,"Where did the British Boy Band ""Bros"" come from?",Camberley,Guildford|Aldershot|Bagshot,Camberley|Guildford|Aldershot|Bagshot
Geography,multiple,hard,What country is not a part of Scandinavia?,Finland,Norway|Sweden|Denmark,Finland|Norway|Sweden|Denmark
Entertainment: Television,multiple,medium,"Which of the following was not an actor/actress on the American television show ""Saturday Night Live"" in Season 42?",Tina Fey,Mikey Day|Kate McKinnon|Sasheer Zamata,Tina Fey|Mikey Day|Kate McKinnon|Sasheer Zamata
